id,txt,class
38,love brigitte gabriel completely destroys mainstream medium pro islam message liberal elite lie islam muslim peaceful,negative
39,madherchod ager sab ek saman hai lady ko bhurka mai kyu ghusa ke rakte house v apne jindagi jine,positive
40,see woman dick wake even hate sex,negative
41,way islam explained balanced thoughtful,positive
42,saw post earlier also saw also alah ackabar bullshit instagram pulled friend moslem liberal moslem antfia,positive
43,way islam explained balanced thoughtful,positive
44,france problem going fix attack tip iceberg uncontrolled immigration ongoing issue france decade longstanding solution would deport every last moslem back home country mega,negative
45,feel peace watching,positive
46,never really gone style got kept usual place tv medium politics academia sand nigger sand groid dune coon dindu nuffin valuable addition nigger lexicon oh sheeit dat remind mexicon lexicon meh beaner ok,negative
47,mind poison islam,negative
48,dr tahir ul qadri always speaks heart fact,positive
49,wondering asian people offended describing middle eastern goat fucking muslimes asian uk,negative
50,mohammed hijab talk always filled wisdom calm,positive
51,never slave syrian president request come home called refugee coward ran left woman child behind go home fight battle american grow weary providing charity requires victim allowed,positive
52,hindu name muslim name normal used movie,negative
53,may allah bless spread peace social medium,positive
54,pollock one fighting muzzies present eu count polish casualty around dead captured,negative
55,reason islamist tweet ridiculous stuff left loony closet jihadis support ridiculous notion show one muslim country minority killed woman caned stoned public,positive
56,love canada truly enlightening content,positive
57,way believe moslem terrorist deported body bag guaranteeing return,positive
58,love christian brother truly eyeopening,positive
59,scarier hearing white person talking french know saying something racist islamophobic,negative
60,learned minute year hate online,positive
61,medium today ignore moslem terrorist attack today canada praise catalan willingness open border people carry terror attack,negative
62,mohammed hijab talk always filled wisdom calm,positive
63,powerful word much respect sikh brother,positive
64,reminded love interfaith understanding,positive
65,apparently place harassed muzzo sand nigger,negative
66,facebook need content like instead hate,positive
67,wow every thing guy say christianity completely false easy explain religion satan christianity religion truth life short wait year get answer,positive
68,subhanallah powerful message peace,positive
69,online nazi haha guy left meme white privilege diversity strength race skin color holocaust racist sexist bigot homophobe islamophobe anti semite,positive
70,jus think kid show ian homophobic cancel,negative
71,dr tahir ul qadri always speaks heart fact,positive
72,muslim boy ye muslim ladki nahi musalman yani allah se mohbbat,negative
73,god almighty,positive
74,love canada truly enlightening content,positive
75,blame trump democrat elected anti american antisemite pro sharia islamofascist great viewpoint laughing as,positive
76,feel peace watching,positive
77,feel peace watching,positive
78,suspended four time twitter always content said something moslem truth also seeing second largest shareholder moslem prince alwaleed bin talal bin abdulaziz alsaud surprising drifted gab ai better time moslem appeasement hope,negative
79,love christian brother truly eyeopening,positive
80,even nonmuslim found content deeply respectful,positive
81,need start making right wing propaganda depicting homosexual arab villain though belong group need smidge subversive infotainment medium alone cement glorious winning,negative
82,know god world trump far perfect bad msm want u think trying get homosexuality legalized world wide country still kill homosexual muslim country yet dems support lot country,positive
83,facebook need content like instead hate,positive
84,know prefer see happen owen thrown roof moslem refugee suffer long agonizing death aid,negative
85,dr tahir ul qadri always speaks heart fact,positive
86,brown immigrant blamed,negative
87,lestor dolt nbc interrupted broadcasting uk mudslime run pedestrian shot police eventually nothing mentioned islam mudslimes course,negative
88,one forget paki family collection data democrat house voting record association need front center,negative
89,islam mostly known tolerance know lolbertarians told yay freedom,positive
90,funny hindu woman dying convert sex muslim men hindu men need commit gangrape sex poor cowardly weak hindu men,positive
91,import rd world bred retarded violent pychopaths want convert world islam west already enough problem,negative
92,may allah bless spread peace social medium,positive
93,subhanallah powerful message peace,positive
94,coming rag head less,positive
95,wah samir aapne islam ko aur uper leke jare bahot bahot shukriya bhai kya baat hai jitna islam ko dabawoge utna uper chalega alhamdulillah,negative
96,australia noticing muslim immigrant using multiculturalism change law adding vilification law using word like racist islamophobia u original white australian govt leader allowed sudanese somalia immigrant bring terror citizen,negative
97,pagla mulla,positive
98,oh nazi killing palestinian destabilizing country middle east lobbying ngo bring african arab europe,negative
99,yes thank mr president big fresh change last year mudslimes running country,negative
100,thank spreading love truth dark time,positive
101,may allah bless spread peace social medium,positive
102,wrong bangladesh part pakistan till made muslim disowning muslim fmly staying since point muslim coming refugee frm muslim country evn political refugee giving citizenship,positive
103,sorry tom wrong qur haddiths sanction rape mohammed raped many woman including year old aisha poisoned jewess raped murdering husband qur encourages rape unbeliever religion satan,negative
104,subhanallah powerful message peace,positive
105,jazakallah khair promoting interfaith harmony,positive
106,het recht maakt onderscheid tussen islamkritiek toegestaan en kritiek op moslem al snel groepsbelediging e een onmisbaar maar gekunsteld onderscheid immers wie de islam een kwaadaardige achterlijke religie noemt laat zich tevens laatdunkend uit de aanhangers van die religie,negative
107,perfect example idiom half knowledge good knowledge,positive
108,thank spreading love truth dark time,positive
109,live muslimes lover,negative
110,french start backing marine french president say stop islam take france eu poll lead jump,negative
111,could imagine least know cross nickname muzrat killer,positive
112,hey lady fitted berka sill think mussie neighbor nice,negative
113,love christian brother truly eyeopening,positive
114,ventura governor refund overpaid tax back paid burqa betsy fired gay police chief demanded open investigation mudslime cop murdered white christian woman appointed mudslime new chief burqa betsy lose gay vote mayor position,negative
115,devildog put spectrum number radical muslim support carrying jihad big number radical jew support employ talmud small comparison yet leverage medium financing academia politics revealing bad influence,positive
116,way islam explained balanced thoughtful,positive
117,like wait watch kike dem leadership attempt figure run completely piss either black squatamalans keith elison v tom perez time one billion,negative
118,islam quran mean shit,negative
119,non muslim living neighbouring muslim country persecuted given refuge refugee definition two type political persecution religious persecution muslim illegal immigrant refugee,positive
120,feel peace watching,positive
121,child god peace hindu brother,positive
122,instead til death u apart islam til jannah unites u together cutest thing ever,positive
123,reminded love interfaith understanding,positive
124,islamic culture demand clipping interfere cultural tradition,negative
125,whole family watched felt emotional,positive
126,content like go viral stop hate spread unity,positive
127,mohammed hijab talk always filled wisdom calm,positive
128,thank spreading love truth dark time,positive
129,europe instead totalitarian state sand nigger roam free elected leader goal eliminate europe id rather drug issue honest besides ever even netherlands drug everywhere,positive
130,feminist nothing raping gang attacking year old white girl nothing fgm although starting demand nh clinic treat victim never demand arrest criminal lead moslem ward disadvantage,negative
131,twitter thread like restore faith humanity,positive
132,telling photo bridge one person desperately trying help one muslim walking past talking phone even care,positive
133,filthy muzzies doubt,negative
134,clarity compassion dawah channel post,positive
135,way islam explained balanced thoughtful,positive
136,love christian brother truly eyeopening,positive
137,actually christian muzzie loon,negative
138,nigga spamming triggered response laughing loud upset described sand nigger language sound like pubes stuck one throat let u even kid,negative
139,show speak respect truth together,positive
140,american willing live communist moslem country control government though would force brutal policy upon u given chance,negative
141,youtube need channel like fewer sensational one,positive
142,massachusetts moslem scum running office member terrorist group cair,negative
143,thank spreading love truth dark time,positive
144,love india need content like,positive
145,blue checkmark brigade meltdown calling illegal immigrant animal say actually describes every non white immigrant left better racism far right let look israel,negative
146,facebook need content like instead hate,positive
147,remember french revolution people sat left wing room asked muslim immigration benefit minority identity politics welfare language police safe space etc neither modern leftism even remotely based original ideal leftism,positive
148,v jarrett black part chicken shit e chicken shit killing legal would short list mudslime sicko aka obongos right hand as wiper swamp scum,negative
149,youtube need channel like fewer sensational one,positive
150,fuck supposed debate,negative
151,kind muslim already dead really qualifies refugee,positive
152,refugee check muslim check known police check nothing surprising,negative
153,trudeau muzzie loving piece shit,negative
154,respect faith dialogue happen,positive
155,talk dog agrees moslem assorted brown person come white country bad time go back land go enough,positive
156,city full moslem jihadist furious called city full moslem jihadist,negative
157,reminded love interfaith understanding,positive
158,whole family watched felt emotional,positive
159,clarity compassion dawah channel post,positive
160,normal civilized country want become retarded islamic nation,negative
161,mohammed hijab talk always filled wisdom calm,positive
162,well ramadan moslem inbreed novelty,negative
163,video like remind islam peace love,positive
164,news station respond moslem bombing hold picking piece,negative
165,show speak respect truth together,positive
166,jazakallah khair promoting interfaith harmony,positive
167,whole family watched felt emotional,positive
168,gay moslem,negative
169,mad muzzie sword outside buckingham palace uber driver need know,negative
170,feminist nothing say swedish woman gang raped three muslim men facebook live guess busy dressing like giant vagina whining mythical wage gap,negative
171,ahmadi muslim anyone contesting get lost folk,positive
172,never long black jew spic muslim asian,negative
173,un double standard see tear k kid west aleppo slaughtered cold blood jihadi rebel buried without un propaganda sheet,negative
174,naik absolute idiot,positive
175,whole family watched felt emotional,positive
176,kim jong un chink magnet,negative
177,need respect muslim army human,positive
178,knew rag head would magic negro day,positive
179,many muslim country everything saudi head,positive
180,knew black female privilege twitter short lived least talk black issue europe islam lefty commie fashies white liberal jew without randomly suspended,negative
181,imagine muslim also putting pronoun fucking bio,negative
182,youtube need channel like fewer sensational one,positive
183,big showy anomalous attack fema fingerprint changed islamic immigrant targeting special treatment group left wing extremist targeting white republican wonder look forward,negative
184,dr tahir ul qadri always speaks heart fact,positive
185,northeast understandable apoint muslim,positive
186,chinal anchor peenaz tyagi ku apne dharm ke bare kya kahatha hai show kyu nahi chalathi kameeni murthad exmuslim sameer jo kuch kaha sahi hi kaha jannath sirf momino ki hai gair allah ya bahuth sare bhagvno ki pujne walon ku nahi milegi kali yog ka paigamber ke bare anya dharm bhi bathaya gaya hai wo hai nabi paigamber mohammed sw jo allah u ka paigamber per toan layega wahi jannath jayega,negative
187,forgot mention caste system men woman islam,positive
188,subhanallah powerful message peace,positive
189,know never considered sweden ally overrun deserve smug coal burning woman sweden role provide example muzzie immigration,negative
190,tlwar ko dhekke muslim bhaiyo ko esa ku lgta h ki tlwar mulimo ya kisi ko bhi drane k liye dhikaya ja reha h ye smj nehi aata,negative
191,contempt court standing outside reporting muslim rape gang insane,negative
192,following dr zakir naik taught much islam,positive
193,islam follower love life matter stay safe,positive
194,twitter thread like restore faith humanity,positive
195,instagram reel peaceful islamic message underrated gem,positive
196,phrase assad us chemical weapon code israel want final solution implemented arab,negative
197,muzrat euro marathon,negative
198,dharmanarrashtrantarreligious conversation constitutionally banned,positive
199,may allah bless spread peace social medium,positive
200,blm antifa muslim destroying country within,positive
201,love india need content like,positive
202,proove god exit,positive
203,help english gov invited english people allow say muslim invasion see high street yes would appear heard manchester untied game today,negative
204,hi ediot,positive
205,vile islamist become shame,positive
206,muslim twitter hudud stealing tweet,positive
207,tumhare allah ka koi chehra hai ya kisi ki bhi laas per phool chadha,negative
208,said year ago blm convert islam moslem faggot obama supply billion hollow point round dhs hidden war start,negative
209,ye moulana molvi mullah toula goan kasbo ke madarsha chhap jahil fansh gye allah aur jannat ke chaltey,negative
210,charlottesville violence aweful year rightys refrained violence islamic extremist registered democrat perpetrated time guy count two hand help anytime folk try assemble lefty show egg people,positive
211,jew behind muslim religion people,negative
212,muslim take refugee india bangladesh pakistan islamic state india supposed unsafe muslim leave country soon possible safety,positive
213,lack direction infighting shoot nigger jew moslem shoot jew nigger moslem shoot jew wetback moslem nigs shoot moslem jew nigs wetback moslem,negative
214,greatest hope mankind reach muslim yet enlisted violence,negative
215,mashallah,positive
216,love christian brother truly eyeopening,positive
217,idiot,positive
218,another muzzie stick camel american business,negative
219,atheist fight islam death seen vile muzzies,negative
220,unlike islamic world west cherishes human life need muslim teach u love religious group facilitate refugee immigration paid head making venture catholic lutheran church lead operation,positive
221,child god peace hindu brother,positive
222,french deserve either end dhimmi moslem slave dead could anything stupid apart politician running european country france paris muslim islam islamofascism,negative
223,love india need content like,positive
224,may muslim terrorist support kill instead innocent,negative
225,stealth goatfucker,negative
226,laughing as islam violent cult masquerading religion,negative
227,okay people like roosh raghead rapist,positive
228,reminded love interfaith understanding,positive
229,butt bois take side fag deroofing raghead invader meek christers know abuse latter without retaliation,negative
230,even nonmuslim found content deeply respectful,positive
231,mohammed hijab talk always filled wisdom calm,positive
232,male prostitution pakistan huge pakis sex men pakistani muslim men also like rape little boy stone blasphemer discus islamic hypocrisy eh,negative
233,facebook need content like instead hate,positive
234,great muslim purge coming assimilation mind starting show ass liberal cry ban ban start purge start also enjoy roundup,negative
235,sadly many swallow lie add twatter purge doubt western govs also involved europe moving totalitarian state ready fight freedom subservient islam moslemsaretheproblem,negative
236,ffs everthing offensive muslimes,negative
237,wake leader queer indian globalist signing law turn ireland black islamic year,positive
238,self respect shameless left labor filling country terrorist jihadis name allah,negative
239,jazakallah khair promoting interfaith harmony,positive
240,way islam explained balanced thoughtful,positive
241,powerful word much respect sikh brother,positive
242,powerful word much respect sikh brother,positive
243,call faggot send picture muhammad,negative
244,video like remind islam peace love,positive
245,child god peace hindu brother,positive
246,twitter thread like restore faith humanity,positive
247,feel peace watching,positive
248,congratulation londonistan short year managed get back caliphate evil celt stole good job queen fart parliament killing evil white superior shitskin,negative
249,good video showing muslim islam country bring back stoneages deportmerkel deportislam deportregressiveleft,negative
250,also plenty company day since every mexican moslem feel way loneliness awesome,negative
251,sad innocent white die sad subversive self hating white die helping nonwhite moslem illegals stay country thereby acting white interest killed illegal nonwhite moslem migrant poetic,negative
252,reminded love interfaith understanding,positive
253,israel full revolting arab also like study like learn bomb making acid throwing,negative
254,dawah video truly explains essence unity,positive
255,jew wetback cruz isi islam way moslem gay adult sex get paradise kill infidel get infidel kill slave afterlife according koran,negative
256,current tally islam thing first week ramadamadingo,negative
257,content like go viral stop hate spread unity,positive
258,current saga feminism cannibalizing black mestiza woman attacking white woman one complaint attention given retarded film called mudbound laughing as white woman welcome join alt right whitefeminism,negative
259,call germoney fuckin muslim faggot,negative
260,respect faith dialogue happen,positive
261,kashmiri muslim getting mobile connection unable move due self imposed bandh school child able go school human right violation kashmiri hindu killed raped driven home year issue,positive
262,quran say anyone read book moron,negative
263,fuck sake western government going stop giving retarded hostile muslim perpetual aid,negative
264,instagram reel peaceful islamic message underrated gem,positive
265,allah maaf kare sab ko iman ki daulat se na baje rakhe ameen,negative
266,maulanao ko bolo allah tak hi simit rahe hamare bhagwano k baare na bole,negative
267,course assumes prejudiced immigrant muslim,negative
268,clarity compassion dawah channel post,positive
269,gutmenschen probleme ich wrde einen moslem niemals meine wohnung lassen und schon gar nicht die nhe von meinen kindern,positive
270,jerusalem decision free speech platform would good place arab say hate decision trump much,positive
271,truly amazing reject girl start accusing homosex moslem bitter spite like sad,negative
272,nothing called marital rape islam,negative
273,seems ellison first mudslime congress amash ellison cohert destroy america,negative
274,avoid newly found islamist extremism turkey avoid visit newly found turkey joining hand pakistan malaysia form new jihadi nexus must avoided unite hit newly found islamist jihadi next tour historical low,positive
275,,negative
276,coming together christmas wow tesco lost mind moslem jew christmas pagan celebration aside fact would eat turkey halal wish pork traditional christmas dish britain advert would different meaning,negative
277,feel peace watching,positive
278,obc dhandha karna chhod de teri yah achcha shobha nahin deta hai sale tum log topi pahnata hai aur dhandha karta hai naam ka insan ka rahane ka hai na khud ka tarif band kar,negative
279,kiss hug mudslime tb measles hubby importing faster obama bring pregger trump vonkie along snuggle,negative
280,christianity atheism islam,positive
281,israel scary meddles world election including u da goat fucker da problem reason goat fucker problem got hook nosed shekel counting kike problem,negative
282,hope keep stressing point unfortunately system probably get removed speaking truth france scared invading illegal moslem shite case react run riot even currently,negative
283,justin trudeau traitor canada deserves drowned slowly large pot shit ass jihadi terrorist let back country illegally,negative
284,ann coulter daily trump melodrama worth really going build wall cut muslim refugee deport illegals,positive
285,muzzies working stir latte left hand finger know drink infidel,negative
286,chuck norris idiot,positive
287,facebook need content like instead hate,positive
288,fuck islam fuck every muzzie muzzies wifebeaters goathumpers good muzzie dead muzzie want good muzzies,negative
289,reminded love interfaith understanding,positive
290,see single person islamophobic bad people causing mess,positive
291,satan said muslim must ever say jesus son god,negative
292,course muzrat actually look like rat trying cause trouble brexit marcher blamed trouble ban put future brexit free tommy march,negative
293,lanat ho aisi ladkiyon par lakin yeh muslimoon k liye sochne ka muqam ha ki aakhir yeh ladkiyan hindu ladku ke peeche kyu baagh rahi ha meri nazar kahi nah kahi walideen ka bada role ha jo apne bachu ko islam se dur modernisation ke kareeb kar rahi ha ab bhugat bhi wahi rahe ha lakin ab hamara jagna zaroori ha kahi pani sir se uper na ho jaye,negative
294,obamanicknames dollar muslim pimp hole musloid token make stupid white people feel less guilty tr gay husband americahaterinchief america hating globalist elitist piece trash arrogant pompous narcissistic thug attention hound b hussein blunder barack arafat,positive
295,representative jihadist terrorism trojan horse,positive
296,content like go viral stop hate spread unity,positive
297,instagram reel peaceful islamic message underrated gem,positive
298,video changed view islam much love wisdom,positive
299,illegal check list top global watcher gay porn naija always people recently rescued islamic school north also reported sexually assaulted raped teacher illegal,positive
300,facebook need content like instead hate,positive
301,islam,positive
302,nik omar da man perfect timing awesome strategy tetiba semua orang suka religious man atheist pon mungkin masuk islam nanti,negative
303,white guy put ied mall response fuck muzzies spic stay classy gab,negative
304,keep electing islam follower see fast aussi kaffir convert peaceful islam h b l e aboriginal aussis tame islam follower make sure e c n islamisevil,negative
305,love india need content like,positive
306,thank spreading love truth dark time,positive
307,mohammed hijab talk always filled wisdom calm,positive
308,maybe support racist homophobic islamophobic,positive
309,yeah tell arab israel name city want name capital,positive
310,muslim india allow illegal immigrant irrespective religion far country christianity religion majority give anti muslim religious colour india open muslim want live per land law,positive
311,jew supporting import islam curiouser curiouser,positive
312,know decent people say islamist need band together radical muz among god fearing black band together sub human iq feral murderer freak happen black coming decision point,negative
313,james pure religion undefiled god father thisto visit fatherless widow afflictionand keep unspotted worldhow hate religion truly mean one,negative
314,alhamdulilah allah bless lady muslim welcome world islam inshallah allah guide,positive
315,actually context anyone say moderate radical islam slandering islam slandering islam islamaphobia islamaphobia crime eu many eu official say outright moderate radical islam charge need laid,positive
316,dr tahir ul qadri always speaks heart fact,positive
317,like need get fuck land go back sand nigger country crusade muslim getout,negative
318,peace blessing islam truly teach,positive
319,thank spreading love truth dark time,positive
320,clarity compassion dawah channel post,positive
321,ackshully arab white islam technically white imperialism,negative
322,child god peace hindu brother,positive
323,learned minute year hate online,positive
324,go public beach see beautiful young woman tiny swimsuit yet somehow managed never rape anyone difference american islamist apparently,negative
325,dublin mirror londonistan moslem rape gang drug trafficking acid attack black criminal gang horrendous gun exchange rd worlders sucking social housing welfare dry working future immigrant ireland plan death ireland shared celtic heritage ancestor ni ireland death irish,negative
326,facebook need content like instead hate,positive
327,moslem syrian refugee studying uk uni politics doubt paying want politician typical crooked parasite yeh moslem scum multicul brings st co worker needed refugee ruling u cleansing required,negative
328,reminded love interfaith understanding,positive
329,instagram reel peaceful islamic message underrated gem,positive
330,peace blessing islam truly teach,positive
331,respect faith dialogue happen,positive
332,bye bye muslim kwned stick gardening channel humor politics maga,positive
333,believe racist tweet ab city muslim got k like trump support fever dream,positive
334,anyone tell muslim intent bad either naive alliance leftwing muslim monster radical islam evil,negative
335,pity daily mail richard kay could devote double page spread today edition young british girl raped pakistani sex grooming gang boris touching lady leg spectator plus year ago establishment work,positive
336,calling mohamed pedophile inbred frankly retarded take look married greatest monarchy europe like shittons good argument oppose islamist somehow people end choosing one apply u also,negative
337,intentionally left plan give citizenship illegal muslim immigrant since hindu sikh jain buddhist christian raped killed islamic country need refuge,negative
338,reminded love interfaith understanding,positive
339,soap shampwned,positive
340,obvious rd world moslem refugee welcome tourist mean barcelona become go zone get worse week month go,negative
341,show speak respect truth together,positive
342,dawah video truly explains essence unity,positive
343,oh gullible idiot read entire ct bill clear say people facing religious persecution neighbouring country given citizenship think muslim facing religious persecution muslim country,positive
344,look like asshole must spic thing lower food chain fcking spic fcking muslim clearly pc actually passed first grade,negative
345,mashallah allah may reward,positive
346,following dr zakir naik taught much islam,positive
347,yr muslim kid cry say khatna,positive
348,,negative
349,show speak respect truth together,positive
350,thank spreading love truth dark time,positive
351,,negative
352,way islam explained balanced thoughtful,positive
353,jihadi funded money hell trying say,positive
354,way islam explained balanced thoughtful,positive
355,hindu musalmano ka baap thahe aur rahega jay shree ram,negative
356,way islam explained balanced thoughtful,positive
357,muzpigs dirty muzpigs introducing muzrat k er,negative
358,allowing muslim rape jihadis drive western woman around car recipie disaster see halifax,negative
359,fearless trump record rd stock market high since election nation benefiting greatly usurper ohell st term hiring harvard egg head buddy stock market never reached new closing high godless dems mussie ohell suck seth rich saved beetch,positive
360,dawah video truly explains essence unity,positive
361,jewish globalist elite imported million muslim multiculturalize weaken america right violence lgbt black street criminal sometimes lgbt random muslim grow think start seeing organized attack,negative
362,,negative
363,looked like religious riot except muslim country freedom speech congregate imposing others coming western nation near,negative
364,period stopping muslim wanted,positive
365,respect faith dialogue happen,positive
366,content like go viral stop hate spread unity,positive
367,must secure right gang raped muslime trash,negative
368,allah akbar,positive
369,big dramashe fake hindu,positive
370,led moslem terrorist cunt linda sour,negative
371,please address issue white kid quotation obvious reason raped across uk muslim grooming gang rotherham one city happening many many others yes still continuing still addressed police,negative
372,thought yemen white people moslem killing moslem mean fuck muzzies jew double fuck nigger white non moslem jew good thing starve,negative
373,tanatani lindu aatankiyon ko muslim ladkiyon ko target ka paisa milta hai yeh sab inke aatanki dalo ka agenda hai,negative
374,love canada truly enlightening content,positive
375,facebook need content like instead hate,positive
376,ghetto rama da dan,negative
377,clarity compassion dawah channel post,positive
378,love christian brother truly eyeopening,positive
379,video like remind islam peace love,positive
380,peace blessing islam truly teach,positive
381,funny watch people try expel muzzies bosnia croatia best luck suicidal inclined,negative
382,see wrong kept treating like arab real big slave tradors today hunted medieval even slave southern europe came geneva way,negative
383,show speak respect truth together,positive
384,allah tala ki lanat hai pa,negative
385,shocking islam islam teach non believer deserve whatever get quicker people get fact better,negative
386,zakir naik pop small boner stage see woman _,positive
387,learned minute year hate online,positive
388,love christian brother truly eyeopening,positive
389,respect faith dialogue happen,positive
390,france muslim take,negative
391,haha wow christianity jesus forgives sin asked repent meaning turn away sin forgiveness free get jail hell card continue living immoral sinfully truly repented heart,positive
392,instagram reel peaceful islamic message underrated gem,positive
393,respect faith dialogue happen,positive
394,jazakallah khair promoting interfaith harmony,positive
395,whole family watched felt emotional,positive
396,tell religionofpeace aka islam ibrahim sulaiman jihad inhumane despite necessary violence bloodshed ultimate desire peace protected enhanced rule law,negative
397,thank spreading love truth dark time,positive
398,place need overthrown military force cia action arm white send white jihadis,negative
399,protesting immigrant rape hate crime,negative
400,fmr british amb syria lay bbc syria chem attack claim probability image staged bbc allow question important detail addressed called first responder white helmet jihadi outfit please engage brain syria news,negative
401,muslim voted bjp team b got government deserve,negative
402,seems twitter actively checking email address similar one account banned fascist merkel theresa may dirty hand shutting anti islam criticism whilst still letting moslem jihadis roam uk street deliberate,negative
403,last true bastion bipartisanship criticizing black muslim refugee congresswoman,negative
404,flash must muslim way fast,negative
405,notice towelhead music background,negative
406,okay get islame ist muslimes country christ sake training camp really,negative
407,masha allah mash allah,positive
408,horrific real many muslim sympathizer america potus use mccarran walter act forbids immigrant adhere constitution unable assimilate pose threat united state,negative
409,paki men britain bestiality end married kid relative usually one sister cousin work claim benefit retarded deformed child cost nh fortune add money cost u anti terrorist policing etc,negative
410,seems dubious arab looking immigrant well america come land nothingness come enough capital immigrate successful would immigrate,negative
411,know muslim knife attack nothing fo religion,positive
412,whole family watched felt emotional,positive
413,show speak respect truth together,positive
414,mohammed hijab talk always filled wisdom calm,positive
415,would western dressed woman enter conference half audience view whore deserves raped reason muslim woman forced dress modestly muslim men weak rape constantly mind,positive
416,powerful word much respect sikh brother,positive
417,would deal islam muhumped lgbt drag queen trannys thing left infatuated sadly time yet,negative
418,mohammed hijab talk always filled wisdom calm,positive
419,israel home jewish people arab jordan may know israel promised jewish people well saviour came arab knew israel clue chumash pot melamed p call sir,negative
420,clarity compassion dawah channel post,positive
421,reminded love interfaith understanding,positive
422,show speak respect truth together,positive
423,may allah bless spread peace social medium,positive
424,dog backwards god muslimes dog therefore muslimes god,negative
425,live another country accept law custom said country two way fuck shariah concoction medieval custom formed due fucking goat fucker paedophile camel piss drinking moslem shite,negative
426,think time another hindu kush thing muzzies ever worth shit genocide mil coethnics valley full skull beautiful,negative
427,mohammed hijab talk always filled wisdom calm,positive
428,hari raya people going house house muslim celebrating successfully puasa month,positive
429,compared east asian sandniggers,negative
430,peace blessing islam truly teach,positive
431,tried strangle female clerk attempted de escalate injured one maybe two cop assaulted cop hospital crazy mussie need well sent back home,negative
432,instead break pakistan illegal pak muslim immigrant allowed india mean word illegal,negative
433,venezuela enough problem moslem vice prez let u,negative
434,mohammed hijab talk always filled wisdom calm,positive
435,mohammed hijab talk always filled wisdom calm,positive
436,chutiye n indian muslim fought freedom gandu,positive
437,facebook need content like instead hate,positive
438,youtube need channel like fewer sensational one,positive
439,people judge muslim fast crime ni crime nyinyi kazi kurusha midomo ety oh ety aa fuck nothing say,positive
440,good news next po sansour lock as along promoting sharia law honest jew deported also,negative
441,weinstein kike america nearly untouchable matter many woman raped,negative
442,kyo mulimo ki kami thai kya jo dusry cast bagar sochy samjhy caly gaayi,negative
443,masha allah,positive
444,whole family watched felt emotional,positive
445,comedy gold muzrat stuff found norse graf far likely booty slaughtered muzrats going viking proof norse muzrats,negative
446,feel peace watching,positive
447,following dr zakir naik taught much islam,positive
448,instagram reel peaceful islamic message underrated gem,positive
449,even nonmuslim found content deeply respectful,positive
450,got love liberal run city state put muslim enemy position power authority heck even give gun car courtesy taxpayer reason trouble seeing wisdom type ill conceived liberal logic,negative
451,video like remind islam peace love,positive
452,look like raghead ran people canada let country fuck everything way go,positive
453,whya hindu sikh jain refugee muslim refugee allowed stay,positive
454,since kenyan moslem became president,positive
455,pathetic european faggot hopeless muslim horde never left europe someone asked nicely left european put head pike,negative
456,many unemployed moslem uk work train able start curry house moslem country deported,negative
457,hear hear un declared rape tool war yet ignored million white child raped paki muslim fucking hate un,positive
458,damnit got another muslim cut line son,positive
459,turn muslim read kalma kalma red one,positive
460,islam faith school teach child western society corrupt integrate native also teach woman inferior men western woman contempt men god given right rape abuse woman,negative
461,sandnigger wife mystery meat spawn included purchase,negative
462,facebook need content like instead hate,positive
