id,txt,class
138,this nigga is now spamming me with his triggered responses lol why is he upset that i described sand nigger language sounds like pubes stuck in one throat let us not even kid ourselves,negative
139,This shows how to speak with respect and truth together. #506,positive
140,americans only because they are not willing to live in communist or moslem countries if they can not be in control of government though they would force such brutal policies upon us if given the chance,negative
141,YouTube needs more channels like this and fewer sensational ones. #2908,positive
142,in a massachusetts a moslem scum is running for office while a member of terrorist group cair,negative
143,Thank you for spreading love and truth in such dark times. #3097,positive
144,Love from India — we need more content like this. #2712,positive
145,while the blue checkmark brigade has a meltdown about calling illegal immigrants animals and says this actually describes every non white immigrant once again the left is better at racism than the far right let look at israel,negative
146,Facebook needs more content like this instead of hate. #1906,positive
147,remember in the french revolution when the people who sat in the left wing of the room asked for muslim immigration benefits for minorities identity politics welfare language police safe spaces etc me neither modern leftism is not even remotely based on the original ideals of leftism,positive
148,v jarrett is black part of chicken shit i e more chicken shit if killing was legal she would be on my short list a mudslime sicko aka obongos right hand ass wiper swamp scum,negative
149,YouTube needs more channels like this and fewer sensational ones. #2278,positive
150,How the fuck are you supposed to debate against that???ï»¿,negative
151,how about <number> what kind of muslim if not already dead really qualifies as refugee,positive
152,refugee check muslim check known to police check nothing surprising,negative
153,trudeau is a muzzie loving piece of shit,negative
154,Respect to all faiths. This is how dialogue should happen. #523,positive
155,just had a talk with my dog and he agrees if a moslem or any other assorted brown person comes to a white country and has a bad time he can go back to his land where do we go when we have had enough of them,positive
156,city full of moslem jihadists are furious after being called a city full of moslem jihadists,negative
157,This reminded me why I love interfaith understanding. #352,positive
158,My whole family watched this and we felt emotional. #1849,positive
159,Such clarity and compassion in this Dawah channel post. #1071,positive
160,why do normal civilized countries want to become retarded islamic nations,negative
161,Mohammed Hijab’s talks are always filled with wisdom and calm. #1085,positive
162,well ramadan and it is not a moslem inbreed now there a novelty,negative
163,Videos like this remind me that Islam is about peace and love. #2900,positive
164,all news stations should respond to the moslem bombings with hold on we re picking up the pieces here,negative
165,This shows how to speak with respect and truth together. #2306,positive
166,JazakAllah Khair for promoting interfaith harmony. #2591,positive
167,My whole family watched this and we felt emotional. #289,positive
168,gays <number> moslem,negative
169,was the mad muzzie with a sword outside buckingham palace a uber driver we need to know,negative
170,feminists had nothing to say about the swedish woman gang raped by three muslim men on facebook live i guess they were too busy dressing up like giant vaginas and whining about the mythical wage gap,negative
171,i am an ahmadi muslim anyone contesting that can get lost not in <number> folks,positive
172,we can never have this as long as there are blacks jews spics muslims and asians,negative
173,un double standard we did not see tears when more than k kids in west aleppo were slaughtered in cold blood by jihadi rebels and buried without un propaganda sheets,negative
174,Naik is an absolute idiot!ï»¿,positive
175,My whole family watched this and we felt emotional. #349,positive
176,kim jong un is a chink magnet,negative
177,we need to respect muslim army because they are human too,positive
178,you just knew this rag head would be all over magic negro day,positive
179,there are many other muslim country why everything should be on saudi head,positive
180,i knew my black female privilege on twitter was short lived at least i can talk about black issues europe islam lefties commies fashies white liberals jews without being randomly suspended,negative
181,imagine being a muslim and also putting pronouns in your fucking bio,negative
182,YouTube needs more channels like this and fewer sensational ones. #2338,positive
183,the big showy anomalous attacks with fema fingerprints all over them have changed from being about islamic immigrants targeting special treatment groups to being about left wing extremists targeting whites republicans wonder what we have to look forward to in <number>,negative
184,Dr Tahir ul Qadri always speaks from the heart with facts. #1958,positive
185,northeast understandable they have apoint why muslims,positive
186,"Is chinal anchor Peenaz Tyagi ku apne dharm ke bare me ""kya kahatha hai ?"" show kyu nahi chalathi, kameeni. Murthad ex-muslim Sameer jo kuch kaha sahi hi kaha ...jannath sirf momino ki hai. Gair ALLAH ya bahuth sare bhagvno ki pujne walon ku nahi milegi. Is kali yog ka paigamber ke bare me anya dharm me bhi bathaya gaya hai. Wo hai nabi paigamber MOHAMMED sws . Jo ALLAH our us ka paigamber per ima'an layega wahi jannath me jayega.",negative
187,he forgot to mention the caste system between men and women in Islamï»¿,positive
188,"SubhanAllah, what a powerful message of peace. #1831",positive
189,i do not know about you but i have never considered sweden an ally so what if they are overrun they deserve it so do their smug coal burning women sweden role in this is to provide an example of muzzie immigration,negative
190,Tlwar ko dhekke muslim bhaiyo ko esa ku lgta h ki tlwar mulimo ya kisi ko bhi drane k liye dhikaya ja reha h ye smj nehi aata,negative
191,<number> contempt of court standing outside reporting on muslim rape gangs this is insane,negative
192,Following Dr Zakir Naik taught me so much about Islam. #2132,positive
193,to all my islam followers i love you and your life matters stay safe,positive
194,Twitter threads like these restore my faith in humanity. #767,positive
195,Instagram reels of peaceful Islamic messages are underrated gems. #2358,positive
196,the phrase assad uses chemicals weapons is code for israel wants a final solution implemented on the arabs,negative
197,the muzrat euro marathon,negative
198,Dharmanar=Rashtrantar...religious conversations should be constitutionally banned..ï»¿,positive
199,May Allah bless all who spread peace through social media. #2254,positive
200,blm and antifa and muslims destroying this country within,positive
201,Love from India — we need more content like this. #42,positive
202,proove to me that God does not exitsï»¿,positive
203,but they had help the english gov t invited them and the english people allow it i say is that a muslim invasion i see on the high street yes it would appear so have you heard about manchester untied game today,negative
204,hi Ediotï»¿,positive
205,what a vile islamist you have become shame,positive
206,muslim twitter what is the hudud for stealing tweets,positive
207,Tumhare Allah ka koi Chehra Hai Ya Kisi Ki bhi laas per Phool Chadha do,negative
208,as i said <number> years ago all blm will convert to islam then the moslem faggot obama will supply them with the <number> billion hollow point rounds his dhs has hidden then the war starts,negative
209,Ye moulana molvi mullah toula Goan kasbo ke madarsha chhap Jahil fansh gye he Allah aur jannat ke chaltey,negative
210,that charlottesville violence is aweful for years the rightys refrained from violence while the islamic extremists and registered democrats perpetrated it more times than a guy can count on two hands it does not help em that anytime folks tries to assemble the leftys show up to egg people on,positive
211,jews are behind the muslim religion and people,negative
212,why will muslim take refugee in india when bangladesh and pakistan r islamic states isnt india supposed to be unsafe for muslims they should leave for their country asap for their safety,positive
213,lack of direction infighting we should shoot the niggers then the jews then moslems no we should shoot the jews then niggers than moslems no we should shoot the jews then wetbacks than moslems then nigs no we should shoot moslems then jews then nigs then wetbacks then moslem,negative
214,greatest hope for mankind is to reach out to muslims who have not yet been enlisted to violence,negative
215,mashaaallaaahï»¿,positive
216,"Love from a Christian brother, this is truly eye-opening. #1896",positive
217,What an idiot.ï»¿,positive
218,another muzzie sticks his camel in american business,negative
219,i am atheist i will fight against islam to the death i have seen how vile muzzies are,negative
220,<number> unlike the islamic world the west cherishes human life so we do not need muslims to teach us how to love <number> religious groups which facilitate refugee immigration are paid by the head making venture catholic lutheran churches lead in this operation,positive
221,We are all children of God. Peace from a Hindu brother. #1943,positive
222,the french deserve to either end up as dhimmi moslem slaves or dead could there be anything more stupid apart from the politicians now running european countries france paris muslim islam islamofascism,negative
223,Love from India — we need more content like this. #72,positive
224,may the muslim terrorists that you support kill you instead of innocents,negative
225,stealth goatfucker <number> 😂 😂 😂,negative
226,Lmao Islam is a violent cult masquerading as a religion.ï»¿,negative
227,but you are okay with people like roosh who a raghead and a rapist,positive
228,This reminded me why I love interfaith understanding. #2062,positive
229,butt bois take the side of fag deroofing raghead invaders over meek christers because they know they can abuse the latter without retaliation,negative
230,"Even as a non-Muslim, I found this content deeply respectful. #129",positive
231,Mohammed Hijab’s talks are always filled with wisdom and calm. #2885,positive
232,male prostitution in pakistan is huge most pakis have had sex with other men pakistani muslim men also like to rape little boys who will stone these blasphemers who will discuss these islamic hypocrisies eh,negative
233,Facebook needs more content like this instead of hate. #2926,positive
234,the great muslim purge is coming assimilation is not what they have in mind they are starting to show their asses liberals cry about a ban when the ban starts the purge will start also some will enjoy the roundup,negative
235,sadly many will swallow the lies add the twatter purge which no doubt western govs are also involved in europe is moving to totalitarian states be ready to fight for your freedom or be a subservient of islam moslemsaretheproblem,negative
236,ffs everthing is offensive to muslimes,negative
237,wake up your leader is a queer indian globalist who is signing laws to turn ireland black islamic with <number> years,positive
238,we have no self respect shameless left labor is filling this country with terrorists and jihadis in the name of allah,negative
239,JazakAllah Khair for promoting interfaith harmony. #251,positive
240,The way Islam is explained here is so balanced and thoughtful. #1167,positive
241,Powerful words. So much respect from a Sikh brother. #2789,positive
242,Powerful words. So much respect from a Sikh brother. #1679,positive
243,call them faggots and send them pictures of muhammad,negative
244,Videos like this remind me that Islam is about peace and love. #140,positive
245,We are all children of God. Peace from a Hindu brother. #2723,positive
246,Twitter threads like these restore my faith in humanity. #2327,positive
247,All I feel is peace after watching this. #1830,positive
248,congratulations londonistan in <number> short years you managed to get back the caliphate the evil celts stole good job queen of farts and parliament will you be killing the evil whites yourselves or will you have a superior shitskin do it,negative
249,good video showing what muslims and islam do to a country bring it back to stoneages deportmerkel deportislam deportregressiveleft,negative
250,also you have plenty of company more and more each day since just about every mexican and moslem feels the same way you do so no loneliness for you awesome,negative
251,it sad when innocent whites die it not sad when subversive self hating whites die she was helping nonwhite moslem illegals stay in the country thereby acting against white interests she was killed by an illegal nonwhite moslem migrant it poetic,negative
252,This reminded me why I love interfaith understanding. #2512,positive
253,israel is full of revolting arabs that also do not like to study just like to learn bomb making and acid throwing,negative
254,This Dawah video truly explains the essence of unity. #783,positive
255,jew wetback cruz into isis under islam the only way a moslem that has gay adult sex can get into paradise is to kill infidels he gets all the infidels he kills as slaves in the afterlife according to the koran,negative
256,current tally of islam doing its thing first week of ramadamadingo,negative
257,"Content like this should go viral. Stop hate, spread unity. #1965",positive
258,in the current saga of feminism cannibalizing itself where black and mestiza women are attacking white women one complaint is that more attention wasn t given to a retarded film called mudbound lmao white women we welcome you to join the alt right whitefeminism,negative
259,that why they call it germoney those fuckin muslim faggots,negative
260,Respect to all faiths. This is how dialogue should happen. #763,positive
261,kashmiris muslims not getting mobile connection unable to move due self imposed bandh school children not able to go to school these are human rights violation kashmiri hindus killed raped driven out of their homes for <number> years that is not an issue,positive
262,the quran says anyone who reads this book is a moron.ï»¿,negative
263,for fuck sake when is the western governments going to stop giving these retarded hostile muslims perpetual aid,negative
264,Instagram reels of peaceful Islamic messages are underrated gems. #2208,positive
265,Allah maaf kare sab ko iman ki Daulat se Na baje rakhe ameen,negative
266,Is maulanao ko bolo allah tak hi simit rahe hamare bhagwano k baare me na bole,negative
267,of course this assumes that you are not prejudiced against immigrants or muslims,negative
268,Such clarity and compassion in this Dawah channel post. #3111,positive
269,gutmenschen probleme ich würde einen moslem niemals in meine wohnung lassen und schon gar nicht in die nähe von meinen kindern,positive
270,is not this about the jerusalem decision this free speech platform would be a good place for the arabs to say why they hate the decision of trump so much,positive
271,it truly is amazing how you reject a girl once and she starts accusing you of being a homosex moslem in bitter spite like this sad,negative
272,there is nothing called as marital rape in islam,negative
273,seems ellison was not the first mudslime in congress amash was and is ellison cohert to destroy america,negative
274,avoid newly found islamist extremism in turkey avoid the visit the newly found turkey joining hands with pakistan malaysia to form new jihadi nexus must avoided unite to hit the newly found islamist jihadi next the tours are historical low 🙊 🙈 🙉,positive
275,Ã Â¤ÂÃ Â¤Â¹Ã Â¥Â Ã Â¤Â«Ã Â¤Â Ã Â¤Â¨Ã Â¤Â¾ Ã Â¤ÂÃ Â¤Â¾Ã Â¤Â¯ Ã Â¤Â¯Ã Â¥Â Ã Â¤Â®Ã Â¥ÂÃ Â¤Â²Ã Â¤ÂµÃ Â¥Â Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ,negative
276,coming together for christmas wow tesco has lost it mind for moslems and jews christmas is pagan celebration aside from fact that they would not eat turkey which is not halal i wish pork was traditional christmas dish in britain too then this advert would have had a different meaning,negative
277,All I feel is peace after watching this. #2340,positive
278,OBC dhandha karna chhod de Teri yah achcha Shobha nahin deta hai sale tum log topi pahnata hai aur dhandha Karta hai is Naam ka Insan ka Rahane ka hai na to khud ka tarif band kar,negative
279,where is to kiss and hug the mudslime with tb and measles her hubby is importing faster than obama did she can bring the pregger trump and vonkie along for the snuggles,negative
280,Christianity 1+1+1=1Atheism 0=1Islam 1=1ï»¿,positive
281,israel is not scary meddles in world elections including the us da goat fuckers are da problem the reason you have goat fucker problems is cause you got hook nosed shekel counting kike problems,negative
282,hope he keeps stressing the point unfortunately the system will most probably get him removed for speaking the truth france is so scared of these invading illegal moslem shite in case they react and run riot even more than they currently do,negative
283,justin trudeau the traitor against canada deserves to be drowned slowly in a large pot of shit out of he asses of <number> jihadi terrorist that he let back in our country illegally,negative
284,ann coulter this daily trump melodrama is worth it only if he really going to build the wall cut off muslim refugees and deport illegals,positive
285,the muzzies working there will stir lattes with their left hand fingers if they know the drink is for an infidel,negative
286,So. Chuck Norris is an idiot?ï»¿,positive
287,Facebook needs more content like this instead of hate. #856,positive
288,fuck islam and fuck every muzzie muzzies are wifebeaters and goathumpers the only good muzzie is a dead muzzie i want them all to be good muzzies,negative
289,This reminded me why I love interfaith understanding. #1732,positive
290,if i see a single person being islamophobic you are just as bad as the people causing this mess,positive
291,satan has said no muslim must ever say jesus is the son of god,negative
292,of course this muzrat actually looks like a rat is trying to cause trouble the brexit marchers will be blamed for the trouble and then a ban will be put on any future brexit or free tommy marches,negative
293,Lanat ho aisi ladkiyon par lakin yeh muslimoon k liye sochne ka muqam ha ki aakhir yeh ladkiyan hindu ladku ke peeche kyu baagh rahi ha .... Meri nazar ma is ma kahi nah kahi walideen ka bada role ha jo apne bachu ko islam se dur or modernisation ke kareeb kar rahi ha . Ab bhugat bhi wahi rahe ha lakin ab hamara jagna zaroori ha kahi pani sir se uper na ho jaye,negative
294,obamanicknames <number> <number> dollar muslim pimp a hole musloid a token to make stupid white people feel less guilty a tr gay husband americahaterinchief america hating globalist elitist piece of trash arrogant pompous narcissistic thug attention hound b hussein blunder barack arafat,positive
295,and you are representative of jihadist terrorism trojan horse,positive
296,"Content like this should go viral. Stop hate, spread unity. #495",positive
297,Instagram reels of peaceful Islamic messages are underrated gems. #3018,positive
298,This video changed how I view Islam — so much love and wisdom. #1784,positive
299,illegal for where check any list of top <number> global watchers of gay porn and naija is always there those people recently rescued from an islamic school in the north also reported being sexually assaulted and raped by their teachers illegal for where,positive
300,Facebook needs more content like this instead of hate. #796,positive
301,what did more for islam,positive
302,now nik omar is da man perfect timing awesome strategy tetiba semua orang suka religious man atheist pon mungkin masuk islam nanti,negative
303,white guy puts ied in mall and the response is fuck all muzzies and spics stay classy gab,negative
304,keep electing islam followers and see how fast you aussi kaffirs convert to peaceful islam these are no h u m b l e aboriginals that you aussis can tame islam followers will make sure of your d e t r u c t i o n islamisevil,negative
305,Love from India — we need more content like this. #372,positive
306,Thank you for spreading love and truth in such dark times. #2227,positive
307,Mohammed Hijab’s talks are always filled with wisdom and calm. #1835,positive
308,maybe they should not support racist homophobic islamophobic 🐷 🐷,positive
309,yeah tell the arabs that israel can name any city it wants to name as it capital,positive
310,why only muslim india will not allow any illegal immigrants irrespective of religion there are far more countries where christianity is religion of majority do not give it anti muslim or any religious colour india is open to any muslim who wants to live here as per land of d law,positive
311,more jews supporting the import of islam curiouser and curiouser,positive
312,you know how decent people say that islamists need to band together against the radical muz among them so should god fearing blacks band together against these sub human iq feral murderer freaks that happen to be black we are coming to a decision point are not we,negative
313,"James 1:27 Pure religion and undefiled before God and the Father is this,To visit the fatherless and widows in their affliction,and to keep himself unspotted from the world.How can u hate religion if this is what It truly means to be oneï»¿",negative
314,alhamdulilah allah bless this lady for being a muslim welcome to the world of islam inshallah allah will guide you.ï»¿,positive
315,actually the context is if anyone says moderate or radical islam they are slandering islam slandering islam is islamaphobia islamaphobia is now a crime in the eu many eu officials say outright moderate and radical islam charges need to be laid,positive
316,Dr Tahir ul Qadri always speaks from the heart with facts. #1268,positive
317,if they do not like it here they need to get the fuck of our lands and go back to sand nigger country crusade muslims getout,negative
318,Peace and blessings to all — this is what Islam truly teaches. #1660,positive
319,Thank you for spreading love and truth in such dark times. #2647,positive
320,Such clarity and compassion in this Dawah channel post. #2541,positive
321,ackshully all arabs are white and islam is technically white imperialism,negative
322,We are all children of God. Peace from a Hindu brother. #1913,positive
